ticker,volume,volume_weighted_avg_price,open_price,close_price,highest_price,lowest_price,um_timestamp,transactions,market_close,market
CUBWW,10121.0,0.1019,0.1024,0.11,0.11,0.09,1734123600000,5.0,2024-12-13,NYSE
CCIRW,25211.0,0.3512,0.371,0.455,0.455,0.35,1734123600000,28.0,2024-12-13,NYSE
ETIp,2779.0,24.3216,24.4475,24.4091,24.4475,24.25,1734123600000,19.0,2024-12-13,NYSE
GRAF,5708.0,10.0788,10.08,10.0828,10.092,10.07,1734123600000,17.0,2024-12-13,NYSE
AIVL,693.0,110.0381,109.98,110.0827,110.0827,109.98,1734123600000,30.0,2024-12-13,NYSE
IMTB,14679.0,42.9437,43.0101,42.9,43.0109,42.884,1734123600000,89.0,2024-12-13,NYSE
MKAM,8409.0,29.9709,29.93,29.9178,30.0,29.9178,1734123600000,17.0,2024-12-13,NYSE
GPAT,13671.0,10.1303,10.131,10.14,10.14,10.13,1734123600000,32.0,2024-12-13,NYSE
PSR,1807.0,94.7181,94.7,94.8482,94.8482,94.52,1734123600000,52.0,2024-12-13,NYSE
HYZNW,8531.0,0.01786,0.0175,0.0186,0.02,0.0175,1734123600000,8.0,2024-12-13,NYSE
HWBK,2339.0,31.4868,31.73,31.6,31.7799,31.25,1734123600000,152.0,2024-12-13,NYSE
DMAT,343.0,15.2731,15.2891,15.25,15.2891,15.25,1734123600000,22.0,2024-12-13,NYSE
USEP,3542.0,35.5504,35.58,35.5405,35.58,35.53,1734123600000,24.0,2024-12-13,NYSE
NETD,9593.0,10.7716,10.7748,10.7701,10.8,10.77,1734123600000,46.0,2024-12-13,NYSE
DMXF,18169.0,67.7581,67.725,67.66,67.89,67.515,1734123600000,189.0,2024-12-13,NYSE
GPOW,3253.0,53.6908,53.675,53.6634,53.675,53.56,1734123600000,18.0,2024-12-13,NYSE
FCEF,6934.0,22.1002,22.0943,22.1,22.149,22.0649,1734123600000,21.0,2024-12-13,NYSE
TLSI,19841.0,3.9294,3.87,3.91,4.0,3.87,1734123600000,290.0,2024-12-13,NYSE
LPAA,22938.0,10.0303,10.03,10.0386,10.0386,10.03,1734123600000,8.0,2024-12-13,NYSE
OCCIO,2011.0,24.8395,24.81,24.89,24.89,24.75,1734123600000,22.0,2024-12-13,NYSE
ITDH,1899.0,32.8857,32.91,32.8584,32.91,32.8584,1734123600000,60.0,2024-12-13,NYSE
ELCV,40259.0,25.5258,25.54,25.4966,25.57,25.449,1734123600000,99.0,2024-12-13,NYSE
BRID,6829.0,10.5851,10.4496,10.7349,10.82,10.4496,1734123600000,95.0,2024-12-13,NYSE
FULTP,15423.0,20.3562,20.41,20.38,20.4991,20.0201,1734123600000,178.0,2024-12-13,NYSE
TLTI,1228.0,48.7253,48.79,48.5409,48.79,48.45,1734123600000,19.0,2024-12-13,NYSE
ITDF,9659.0,32.6979,32.76,32.72,32.76,32.6457,1734123600000,67.0,2024-12-13,NYSE
MARXU,22893.0,8.2843,7.4,7.3,9.5,7.16,1734123600000,380.0,2024-12-13,NYSE
FSGS,1632.0,31.1466,31.25,31.1696,31.25,31.11,1734123600000,21.0,2024-12-13,NYSE
LYLD,1205.0,26.5006,26.47,26.51,26.51,26.47,1734123600000,15.0,2024-12-13,NYSE
BJUN,2334.0,41.974,42.0,42.0002,42.0038,41.93,1734123600000,24.0,2024-12-13,NYSE
NCVpA,5895.0,21.7292,21.82,21.8,21.96,21.46,1734123600000,43.0,2024-12-13,NYSE
TDVI,13372.0,24.7668,24.76,24.84,24.933,24.6523,1734123600000,83.0,2024-12-13,NYSE
RWTpA,3135.0,25.9164,26.11,25.8,26.1431,25.785,1734123600000,44.0,2024-12-13,NYSE
WWJD,26237.0,30.0783,30.075,30.12,30.13,30.03,1734123600000,140.0,2024-12-13,NYSE
ITDG,2274.0,32.8442,32.89,32.8429,32.89,32.8,1734123600000,47.0,2024-12-13,NYSE
ANGpA,33509.0,25.2548,25.13,25.3,25.34,25.12,1734123600000,229.0,2024-12-13,NYSE
RFAI,167378.0,10.1998,10.19,10.2,10.2,10.19,1734123600000,206.0,2024-12-13,NYSE
SPYM,2086.0,28.1474,28.234,28.12,28.234,28.07,1734123600000,27.0,2024-12-13,NYSE
LSBPW,5200.0,0.03938,0.039,0.0398,0.03992,0.039,1734123600000,15.0,2024-12-13,NYSE
CDEI,1081.0,73.9236,73.94,73.7389,73.95,73.7389,1734123600000,16.0,2024-12-13,NYSE
GLLI,840.0,11.6351,11.53,11.74,11.83,11.53,1734123600000,12.0,2024-12-13,NYSE
LDRI,1719.0,25.0834,25.0788,25.06,25.09,25.06,1734123600000,19.0,2024-12-13,NYSE
EWV,1761.0,40.5947,40.6,40.5345,40.7,40.51,1734123600000,33.0,2024-12-13,NYSE
IOPP,4026.0,29.7295,29.7677,29.6959,29.78,29.6722,1734123600000,35.0,2024-12-13,NYSE
UJB,1224.0,74.0696,74.1498,73.7472,74.1498,73.7472,1734123600000,37.0,2024-12-13,NYSE
CPSJ,667.0,25.0919,25.09,25.11,25.11,25.09,1734123600000,8.0,2024-12-13,NYSE
VFSWW,4176.0,0.4757,0.51,0.4401,0.5387,0.4401,1734123600000,36.0,2024-12-13,NYSE
EATZ,3221.0,28.9355,29.0845,28.8921,29.0845,28.79,1734123600000,71.0,2024-12-13,NYSE
CAOS,18175.0,87.2234,87.25,87.2,87.27,87.17,1734123600000,113.0,2024-12-13,NYSE
ITDI,1930.0,32.8653,32.9,32.853,32.9,32.8199,1734123600000,46.0,2024-12-13,NYSE
UAUG,12398.0,35.8716,35.9533,35.9202,35.9533,35.83,1734123600000,31.0,2024-12-13,NYSE
SDD,706.0,13.8766,13.81,13.895,13.9407,13.81,1734123600000,12.0,2024-12-13,NYSE
UOCT,6659.0,35.6197,35.67,35.645,35.67,35.59,1734123600000,41.0,2024-12-13,NYSE
SAEF,1348.0,27.9447,28.01,27.9453,28.01,27.9,1734123600000,28.0,2024-12-13,NYSE
WABF,1425.0,25.131,25.18,25.0926,25.18,25.0926,1734123600000,35.0,2024-12-13,NYSE
BEDZ,750.0,33.8729,33.92,33.86,33.92,33.86,1734123600000,28.0,2024-12-13,NYSE
ABRpF,25579.0,22.2622,22.38,22.34,22.5299,21.82,1734123600000,236.0,2024-12-13,NYSE
HSCZ,10242.0,32.6728,32.65,32.6754,32.69,32.635,1734123600000,107.0,2024-12-13,NYSE
PDBA,12620.0,39.9222,39.84,39.905,39.96,39.72,1734123600000,86.0,2024-12-13,NYSE
DUKX,3342.0,25.1672,25.15,25.1982,25.1982,25.15,1734123600000,22.0,2024-12-13,NYSE
BCpB,11740.0,24.8388,24.849,24.77,25.0,24.75,1734123600000,107.0,2024-12-13,NYSE
SIMA,30216.0,10.03,10.0165,10.04,10.04,10.0165,1734123600000,13.0,2024-12-13,NYSE
RSPC,4370.0,35.6991,35.7403,35.7123,35.7714,35.64,1734123600000,60.0,2024-12-13,NYSE
TCTM,14612.0,0.8482,0.8401,0.8301,0.864,0.8301,1734123600000,41.0,2024-12-13,NYSE
PCIG,7019.0,9.5668,9.59,9.575,9.59,9.5406,1734123600000,38.0,2024-12-13,NYSE
BJAN,19683.0,47.7688,47.8399,47.7815,47.8399,47.74,1734123600000,107.0,2024-12-13,NYSE
GLSTW,411569.0,0.01003,0.0138,0.0104,0.0148,0.009499,1734123600000,116.0,2024-12-13,NYSE
WHLRD,111501.0,25.22,24.91,24.49,25.5,24.05,1734123600000,172.0,2024-12-13,NYSE
ABOT,426387.0,37.7364,37.94,37.8913,37.94,36.75,1734123600000,67.0,2024-12-13,NYSE
RISN,5165.0,27.558,27.55,27.6517,27.74,27.55,1734123600000,15.0,2024-12-13,NYSE
VMCA,3058.0,11.52,11.52,11.5201,11.5201,11.52,1734123600000,33.0,2024-12-13,NYSE
SQFTW,7265.0,0.02925,0.0296,0.028,0.0307,0.028,1734123600000,18.0,2024-12-13,NYSE
SPBC,5604.0,40.3552,40.48,40.56,40.56,40.21,1734123600000,77.0,2024-12-13,NYSE
WLTG,1344.0,31.0499,30.63,30.54,30.63,30.54,1734123600000,116.0,2024-12-13,NYSE
AWX,2796.0,3.197,3.257,3.21,3.2917,3.2,1734123600000,37.0,2024-12-13,NYSE
ABLD,531532.0,31.2047,31.16,31.2348,31.3,31.13,1734123600000,57.0,2024-12-13,NYSE
MDRR,5049.0,12.4633,12.3799,12.4999,12.5,12.374,1734123600000,54.0,2024-12-13,NYSE
ALFUW,502.0,0.1161,0.116,0.116,0.116,0.1159,1734123600000,7.0,2024-12-13,NYSE
ICRpA,5787.0,20.9101,21.01,20.83,21.1184,20.7601,1734123600000,46.0,2024-12-13,NYSE
OCIO,1437.0,34.9252,34.86,34.8755,34.9282,34.86,1734123600000,9.0,2024-12-13,NYSE
ANSCW,515.0,0.2215,0.1711,0.3,0.3,0.1701,1734123600000,6.0,2024-12-13,NYSE
NVDW,702.0,29.0849,30.38,28.79,30.38,28.45,1734123600000,49.0,2024-12-13,NYSE
QMAR,86186.0,30.1157,30.2099,30.11,30.2099,30.06,1734123600000,377.0,2024-12-13,NYSE
STRR,1089.0,2.6179,2.67,2.6261,2.67,2.59,1734123600000,89.0,2024-12-13,NYSE
CIMpC,31634.0,23.229,23.2,23.34,23.35,23.18,1734123600000,200.0,2024-12-13,NYSE
SWKH,5450.0,16.6774,16.5309,16.62,16.8,16.53,1734123600000,190.0,2024-12-13,NYSE
VSTA,55332.0,2.1126,2.1183,2.06,2.135,2.06,1734123600000,135.0,2024-12-13,NYSE
SBB,4285.0,14.0691,14.05,14.0655,14.125,14.05,1734123600000,22.0,2024-12-13,NYSE
PCGpH,1243.0,18.231,18.24,18.2499,18.2499,18.2,1734123600000,11.0,2024-12-13,NYSE
DIEM,879.0,27.3729,27.37,27.369,27.4,27.34,1734123600000,14.0,2024-12-13,NYSE
ABP,16493.0,1.5747,1.67,1.53,1.75,1.52,1734123600000,121.0,2024-12-13,NYSE
EXI,488585.0,147.5304,147.58,147.3347,147.8299,147.18,1734123600000,905.0,2024-12-13,NYSE
NAUG,3102.0,26.0702,26.07,26.0402,26.07,26.0402,1734123600000,10.0,2024-12-13,NYSE
